Cost 36253.0
Edges 357
E 1001 18
E 1001 844
E 1005 993
E 1006 767
E 1007 18
E 1012 719
E 1013 319
E 1013 707
E 1014 280
E 1014 791
E 1014 836
E 1015 379
E 1018 516
E 1018 701
E 1019 218
E 1020 61
E 1020 203
E 1020 299
E 1020 701
E 1022 253
E 1023 806
E 1024 515
E 1027 854
E 1027 886
E 1028 636
E 1028 649
E 1030 860
E 1031 616
E 1032 145
E 1032 359
E 1035 192
E 1035 303
E 1039 29
E 1039 263
E 1039 701
E 1040 862
E 1041 298
E 1044 31
E 1044 58
E 1044 236
E 1045 361
E 1046 19
E 1048 649
E 1049 362
E 1050 219
E 1051 29
E 1051 548
E 1051 836
E 1051 907
E 1052 678
E 1052 732
E 1053 147
E 1054 30
E 1055 966
E 1056 946
E 1057 18
E 1059 299
E 1059 673
E 1061 328
E 1063 791
E 1063 817
E 1064 144
E 1066 50
E 1066 999
E 1068 632
E 1068 656
E 1070 263
E 1071 321
E 1072 758
E 1076 842
E 1077 136
E 1077 797
E 1078 865
E 1079 691
E 1080 453
E 1081 364
E 1082 678
E 1082 789
E 1083 656
E 1083 887
E 1084 894
E 1084 909
E 1085 884
E 1086 274
E 1086 915
E 1087 514
E 1087 544
E 1088 591
E 1091 806
E 1091 915
E 1092 464
E 1092 636
E 1092 946
E 1093 219
E 1093 373
E 1093 451
E 1093 514
E 1094 361
E 1095 616
E 1095 751
E 1096 751
E 1097 29
E 1098 202
E 1098 501
E 1099 907
E 1101 80
E 1101 138
E 1103 997
E 1104 438
E 1105 17
E 1105 385
E 1105 438
E 1105 997
E 1107 218
E 1107 707
E 1108 550
E 1110 451
E 1111 580
E 1113 287
E 1114 949
E 1115 359
E 1117 681
E 1119 772
E 1121 2
E 1122 701
E 1123 956
E 1124 44
E 1124 884
E 1125 138
E 1125 501
E 1126 978
E 1127 32
E 1130 119
E 1130 336
E 1131 101
E 1132 894
E 1133 562
E 1135 125
E 1136 910
E 1136 913
E 1138 694
E 1139 321
E 1139 451
E 1139 772
E 1142 558
E 1142 978
E 1143 69
E 1145 865
E 1147 378
E 1147 650
E 1147 719
E 1148 192
E 1149 453
E 1150 886
E 1151 63
E 1152 31
E 1152 949
E 1155 321
E 1156 913
E 1158 379
E 1161 251
E 1161 729
E 1163 246
E 1163 844
E 1165 101
E 1166 80
E 1166 969
E 1167 606
E 1168 653
E 1170 888
E 1173 789
E 1174 59
E 1175 887
E 1176 817
E 1178 501
E 1179 672
E 1180 485
E 1181 514
E 1181 673
E 1182 632
E 1183 303
E 1183 736
E 1186 119
E 1186 981
E 1187 719
E 1189 44
E 1190 320
E 1192 862
E 1195 61
E 1196 580
E 1197 280
E 1198 64
E 1199 945
E 1200 758
E 1003 220
E 1003 273
E 1003 434
E 1003 719
E 1003 923
E 1004 966
E 1005 124
E 1005 203
E 1006 177
E 1007 220
E 1008 856
E 1010 103
E 1010 847
E 1014 568
E 1015 298
E 1015 321
E 1015 434
E 1016 59
E 1018 307
E 1019 30
E 1019 64
E 1019 964
E 1019 993
E 1020 646
E 1021 136
E 1022 649
E 1025 108
E 1027 806
E 1029 306
E 1029 646
E 1030 101
E 1031 220
E 1031 860
E 1032 497
E 1033 544
E 1035 50
E 1035 516
E 1039 683
E 1039 732
E 1039 847
E 1040 328
E 1041 108
E 1042 136
E 1044 101
E 1045 119
E 1046 175
E 1050 672
E 1053 969
E 1055 307
E 1057 729
E 1058 312
E 1060 854
E 1060 964
E 1062 736
E 1068 5
E 1069 981
E 1070 464
E 1070 656
E 1072 999
E 1073 253
E 1074 548
E 1075 17
E 1075 453
E 1075 797
E 1076 274
E 1078 550
E 1080 751
E 1080 909
E 1082 653
E 1083 856
E 1084 550
E 1087 515
E 1090 5
E 1092 138
E 1092 353
E 1092 945
E 1094 263
E 1095 364
E 1100 320
E 1100 373
E 1102 361
E 1107 404
E 1109 246
E 1112 274
E 1113 6
E 1114 956
E 1115 144
E 1116 568
E 1117 336
E 1118 32
E 1118 44
E 1118 404
E 1120 650
E 1121 117
E 1122 88
E 1122 684
E 1127 347
E 1128 18
E 1129 58
E 1135 544
E 1137 767
E 1139 117
E 1140 88
E 1141 202
E 1142 125
E 1144 910
E 1146 606
E 1146 684
E 1147 743
E 1148 19
E 1148 888
E 1151 144
E 1153 58
E 1154 177
E 1155 66
E 1157 145
E 1158 312
E 1159 192
E 1159 362
E 1160 353
E 1162 923
E 1164 743
E 1171 236
E 1172 453
E 1177 131
E 1177 378
E 1183 287
E 1184 681
E 1185 842
E 1186 913
E 1188 485
E 1188 514
E 1191 2
E 1192 66
E 1193 175
E 1196 915
E 1009 347
E 1011 103
E 1017 29
E 1026 273
E 1034 558
E 1038 497
E 1038 683
E 1043 147
E 1051 177
E 1052 562
E 1065 63
E 1067 319
E 1079 251
E 1087 591
E 1095 633
E 1096 69
E 1106 683
E 1134 306
E 1142 694
E 1169 385
E 1174 6
E 1194 131
E 1002 17
E 1037 633
E 1047 691
E 1089 58
E 1036 124
