Cost 220.0
Edges 146
E 2 1
E 3 1
E 4 1
E 5 1
E 7 1
E 8 1
E 9 1
E 10 1
E 11 1
E 12 1
E 13 1
E 14 2
E 18 13
E 20 8
E 21 9
E 22 10
E 23 11
E 26 2
E 28 4
E 30 18
E 32 8
E 33 9
E 35 11
E 38 2
E 40 4
E 42 18
E 45 9
E 46 10
E 47 11
E 49 1
E 51 3
E 53 5
E 55 7
E 60 12
E 61 1
E 63 3
E 65 5
E 67 7
E 72 12
E 74 2
E 76 4
E 78 18
E 80 8
E 82 10
E 83 11
E 85 1
E 87 3
E 89 5
E 91 7
E 96 12
E 98 2
E 100 4
E 102 18
E 104 8
E 105 9
E 106 10
E 112 4
E 114 18
E 116 8
E 117 9
E 118 10
E 119 11
E 121 1
E 123 3
E 125 5
E 127 7
E 132 12
E 133 1
E 135 3
E 137 5
E 139 7
E 144 12
E 6 1
E 16 4
E 34 10
E 44 8
E 81 9
E 107 11
E 110 2
E 199 55
E 205 61
E 240 96
E 267 123
E 281 137
E 296 8
E 310 22
E 323 35
E 330 42
E 364 76
E 386 98
E 405 117
E 483 51
E 497 65
E 517 85
E 564 132
E 571 139
E 629 53
E 639 63
E 667 91
E 697 121
E 720 144
E 769 49
E 792 72
E 809 89
E 847 127
E 855 135
E 866 2
E 885 21
E 892 28
E 911 47
E 942 78
E 968 104
E 982 118
E 1018 10
E 1031 23
E 1034 26
E 1053 45
E 1088 80
E 1108 100
E 1122 114
E 1212 60
E 1219 67
E 1239 87
E 1277 125
E 1285 133
E 1307 11
E 1316 20
E 1329 33
E 1334 38
E 1378 82
E 1398 102
E 1408 112
E 1449 9
E 1458 18
E 1472 32
E 1480 40
E 1514 74
E 1546 106
E 1559 119
E 1588 4
E 1598 14
E 1614 30
E 1630 46
E 1667 83
E 1689 105
E 1700 116
