Cost 461.0
Edges 326
E 4 2
E 4 3
E 6 2
E 6 5
E 7 3
E 8 4
E 10 2
E 10 9
E 11 3
E 12 4
E 13 5
E 14 6
E 15 7
E 18 2
E 18 17
E 19 3
E 20 4
E 21 5
E 22 6
E 24 8
E 26 10
E 27 11
E 28 12
E 29 13
E 30 14
E 31 15
E 32 24
E 34 2
E 34 33
E 35 3
E 36 4
E 37 5
E 38 6
E 40 8
E 41 9
E 42 10
E 43 11
E 44 12
E 45 13
E 46 14
E 47 15
E 48 40
E 49 17
E 50 18
E 51 19
E 53 21
E 54 22
E 55 51
E 56 24
E 58 26
E 59 27
E 60 28
E 61 29
E 63 31
E 64 32
E 66 2
E 66 65
E 69 5
E 71 7
E 72 8
E 73 9
E 74 10
E 76 12
E 77 13
E 78 14
E 81 17
E 82 18
E 85 21
E 86 22
E 87 71
E 88 24
E 89 73
E 90 26
E 91 27
E 93 29
E 94 30
E 95 31
E 96 32
E 97 33
E 101 37
E 103 71
E 105 41
E 108 44
E 111 47
E 112 48
E 113 49
E 114 50
E 115 51
E 116 114
E 117 53
E 119 55
E 120 56
E 121 89
E 122 58
E 124 60
E 125 61
E 128 64
E 131 3
E 132 4
E 134 6
E 135 7
E 136 8
E 137 9
E 139 11
E 140 12
E 141 13
E 144 136
E 145 17
E 148 20
E 153 137
E 154 26
E 156 28
E 158 30
E 159 31
E 161 33
E 163 35
E 164 36
E 168 40
E 173 45
E 174 46
E 179 51
E 181 53
E 184 56
E 188 60
E 190 158
E 193 65
E 194 66
E 205 77
E 206 78
E 210 82
E 212 148
E 214 86
E 215 87
E 216 88
E 223 95
E 224 96
E 228 164
E 229 101
E 231 103
E 233 105
E 236 108
E 238 174
E 242 114
E 244 116
E 245 117
E 248 120
E 249 121
E 255 223
E 263 7
E 267 11
E 277 21
E 280 24
E 286 30
E 289 33
E 292 36
E 294 38
E 298 42
E 305 49
E 312 56
E 320 64
E 328 72
E 331 267
E 345 89
E 347 91
E 356 292
E 358 294
E 381 125
E 387 131
E 390 134
E 391 135
E 396 140
E 400 144
E 409 153
E 429 173
E 435 179
E 446 190
E 449 193
E 461 205
E 466 210
E 468 212
E 470 214
E 484 228
E 492 236
E 498 242
E 511 255
E 523 11
E 546 34
E 555 43
E 583 71
E 586 74
E 587 523
E 2 1
E 16 8
E 23 7
E 25 9
E 39 7
E 52 20
E 57 41
E 62 30
E 75 11
E 84 20
E 100 36
E 102 38
E 109 45
E 110 46
E 118 54
E 127 63
E 133 5
E 138 10
E 147 19
E 150 22
E 162 34
E 170 42
E 175 47
E 191 63
E 192 64
E 197 69
E 200 72
E 203 139
E 218 90
E 221 93
E 241 113
E 243 115
E 256 128
E 260 4
E 262 6
E 269 13
E 275 19
E 284 28
E 287 31
E 299 43
E 301 45
E 306 50
E 327 71
E 330 74
E 337 81
E 350 94
E 353 97
E 368 112
E 375 119
E 380 124
E 397 141
E 403 387
E 410 154
E 417 161
E 424 168
E 437 181
E 444 188
E 450 194
E 459 331
E 472 216
E 480 224
E 487 231
E 494 238
E 500 244
E 501 245
E 505 249
E 514 2
E 515 3
E 521 9
E 525 13
E 530 18
E 552 40
E 556 44
E 560 48
E 565 53
E 571 59
E 578 66
E 588 76
E 597 85
E 608 96
E 617 105
E 623 111
E 627 115
E 634 122
E 644 132
E 657 145
E 668 156
E 671 159
E 674 546
E 675 163
E 696 184
E 702 190
E 715 587
E 718 206
E 727 215
E 741 229
E 745 233
E 748 236
E 760 248
E 761 249
E 775 263
E 789 277
E 792 280
E 798 286
E 801 289
E 810 298
E 811 555
E 817 305
E 824 312
E 832 320
E 839 583
E 840 328
E 842 586
E 857 345
E 859 347
E 868 356
E 870 358
E 893 381
E 902 390
E 903 391
E 908 396
E 912 400
E 921 409
E 941 429
E 947 435
E 958 446
E 961 449
E 973 461
E 978 466
E 980 468
E 982 470
E 996 484
E 1004 492
E 1010 498
E 1023 511
