Cost 852.0
Edges 608
E 2 1
E 3 1
E 5 1
E 6 2
E 7 3
E 8 6
E 9 1
E 10 2
E 11 3
E 12 10
E 14 6
E 15 7
E 16 8
E 17 1
E 18 2
E 19 3
E 20 18
E 21 5
E 22 6
E 24 8
E 27 11
E 28 12
E 29 21
E 30 14
E 31 15
E 32 16
E 33 1
E 34 2
E 35 3
E 36 34
E 38 6
E 39 7
E 40 8
E 41 9
E 42 10
E 43 11
E 44 12
E 45 41
E 46 14
E 47 15
E 49 17
E 50 18
E 51 19
E 52 20
E 53 21
E 54 22
E 55 39
E 56 24
E 57 41
E 58 42
E 60 28
E 61 29
E 62 30
E 63 31
E 64 32
E 65 1
E 67 3
E 69 5
E 70 6
E 71 7
E 72 8
E 73 9
E 74 10
E 75 11
E 77 69
E 78 14
E 79 15
E 80 16
E 81 17
E 82 18
E 83 19
E 84 20
E 85 21
E 86 22
E 87 71
E 88 24
E 89 73
E 90 74
E 91 27
E 92 28
E 93 29
E 94 30
E 96 32
E 97 33
E 98 34
E 99 35
E 100 36
E 101 69
E 102 38
E 103 39
E 104 40
E 106 42
E 107 43
E 108 44
E 109 45
E 110 46
E 111 47
E 112 80
E 113 49
E 114 50
E 115 51
E 116 52
E 117 53
E 119 55
E 120 56
E 121 57
E 122 58
E 123 91
E 124 60
E 125 61
E 126 62
E 127 63
E 128 64
E 129 1
E 130 2
E 132 130
E 133 5
E 134 6
E 135 7
E 136 8
E 137 9
E 138 10
E 141 133
E 142 14
E 143 15
E 144 16
E 146 18
E 147 19
E 148 20
E 149 21
E 150 22
E 154 138
E 155 27
E 157 29
E 158 30
E 159 31
E 160 32
E 163 35
E 165 133
E 166 38
E 168 40
E 169 41
E 171 43
E 172 44
E 174 46
E 175 47
E 176 144
E 177 49
E 178 50
E 179 51
E 180 52
E 181 53
E 182 54
E 184 56
E 185 57
E 186 58
E 187 155
E 188 60
E 190 62
E 191 63
E 192 64
E 193 65
E 194 130
E 195 67
E 196 132
E 198 70
E 201 73
E 202 74
E 203 75
E 205 77
E 207 79
E 208 80
E 209 81
E 210 82
E 213 85
E 214 86
E 215 87
E 217 89
E 218 90
E 219 91
E 220 92
E 221 93
E 224 96
E 225 97
E 226 98
E 228 100
E 229 101
E 231 103
