Cost 182.0
Edges 121
E 2 1
E 3 1
E 4 1
E 5 1
E 6 1
E 7 1
E 8 1
E 9 1
E 10 1
E 11 1
E 12 1
E 18 7
E 20 9
E 21 10
E 23 1
E 27 5
E 29 7
E 32 10
E 38 5
E 40 7
E 42 9
E 43 10
E 45 1
E 49 5
E 53 9
E 54 10
E 57 2
E 58 3
E 59 4
E 61 6
E 63 8
E 66 11
E 68 2
E 69 3
E 70 4
E 72 6
E 74 8
E 77 11
E 78 1
E 82 5
E 84 7
E 86 9
E 90 2
E 91 3
E 92 4
E 94 6
E 96 8
E 99 11
E 101 2
E 102 3
E 103 4
E 105 6
E 107 8
E 110 11
E 112 2
E 113 3
E 114 4
E 116 6
E 118 8
E 121 11
E 16 5
E 31 9
E 34 1
E 51 7
E 87 10
E 123 2
E 184 63
E 191 70
E 212 91
E 226 105
E 242 121
E 250 8
E 301 59
E 314 72
E 341 99
E 343 101
E 355 113
E 366 3
E 424 61
E 431 68
E 455 92
E 473 110
E 481 118
E 488 4
E 550 66
E 553 69
E 574 90
E 591 107
E 600 116
E 625 20
E 628 23
E 645 40
E 659 54
E 687 82
E 747 21
E 753 27
E 768 42
E 771 45
E 810 84
E 865 18
E 879 32
E 885 38
E 900 53
E 925 78
E 974 6
E 1025 57
E 1045 77
E 1064 96
E 1070 102
E 1082 114
E 1101 12
E 1118 29
E 1132 43
E 1138 49
E 1175 86
E 1221 11
E 1268 58
E 1284 74
E 1304 94
E 1313 103
E 1322 112
