Cost 739.0
Edges 517
E 2 1
E 3 1
E 4 1
E 5 2
E 6 3
E 7 1
E 8 2
E 10 1
E 11 2
E 12 3
E 13 4
E 14 5
E 15 6
E 16 7
E 17 8
E 18 12
E 19 1
E 20 2
E 21 3
E 22 4
E 24 6
E 25 7
E 26 8
E 27 18
E 28 1
E 30 3
E 31 4
E 32 5
E 33 6
E 34 7
E 35 8
E 36 30
E 37 10
E 38 11
E 39 12
E 40 13
E 41 14
E 42 15
E 43 16
E 45 18
E 46 19
E 47 20
E 48 21
E 49 22
E 51 24
E 52 25
E 53 26
E 54 27
E 55 1
E 56 2
E 57 3
E 58 4
E 59 5
E 60 6
E 61 7
E 62 8
E 63 36
E 65 11
E 66 12
E 67 13
E 68 14
E 69 15
E 70 16
E 71 17
E 72 18
E 73 19
E 74 20
E 75 21
E 77 59
E 79 25
E 80 26
E 81 27
E 82 1
E 83 2
E 84 3
E 87 6
E 88 7
E 89 8
E 90 84
E 91 10
E 92 11
E 93 12
E 94 13
E 95 14
E 96 15
E 98 17
E 101 20
E 102 21
E 103 22
E 104 95
E 105 24
E 106 25
E 108 27
E 109 28
E 110 83
E 112 31
E 114 33
E 116 35
E 117 36
E 118 37
E 119 38
E 124 43
E 125 98
E 126 45
E 128 47
E 129 48
E 131 104
E 134 53
E 135 54
E 136 55
E 137 56
E 138 57
E 140 59
E 141 60
E 144 63
E 145 91
E 146 65
E 147 66
E 148 67
E 150 69
E 151 70
E 152 71
E 153 72
E 154 73
E 156 75
E 157 103
E 158 77
E 159 105
E 164 2
E 165 3
E 166 4
E 167 5
E 168 6
E 169 7
E 170 8
E 171 90
E 172 10
E 173 11
E 176 14
E 178 16
E 182 20
E 183 21
E 184 22
E 187 25
E 188 26
E 189 27
E 190 28
E 192 30
E 194 32
E 195 33
E 196 34
E 197 35
E 199 37
E 200 38
E 201 39
E 202 40
E 204 42
E 207 45
E 209 47
E 210 48
E 211 49
E 212 131
E 213 51
E 214 52
E 217 55
E 220 58
E 221 59
E 222 60
E 223 61
E 224 62
E 227 65
E 228 66
E 229 67
E 230 68
E 232 70
E 233 71
E 234 72
E 235 73
E 239 77
E 240 159
E 241 79
E 243 81
E 245 2
E 250 7
E 253 10
E 260 17
E 262 19
E 265 22
