Cost 38471.0
Edges 380
E 2001 1289
E 2001 1526
E 2001 1913
E 2002 38
E 2002 252
E 2002 323
E 2003 1701
E 2004 927
E 2004 1732
E 2005 283
E 2005 1432
E 2006 281
E 2007 1790
E 2008 1057
E 2008 1627
E 2009 874
E 2012 387
E 2013 1366
E 2014 388
E 2014 392
E 2014 1319
E 2015 1205
E 2015 1387
E 2016 1021
E 2016 1406
E 2017 1433
E 2018 798
E 2019 764
E 2019 1253
E 2020 141
E 2021 1142
E 2022 1789
E 2025 944
E 2025 1558
E 2026 1555
E 2027 516
E 2028 358
E 2028 377
E 2028 976
E 2031 630
E 2032 168
E 2032 252
E 2032 281
E 2033 1234
E 2034 56
E 2034 1854
E 2035 742
E 2035 1411
E 2037 362
E 2038 489
E 2038 1074
E 2039 1788
E 2040 1253
E 2041 855
E 2041 1555
E 2041 1788
E 2042 388
E 2043 285
E 2043 614
E 2043 1366
E 2044 315
E 2044 940
E 2045 1695
E 2047 364
E 2049 1726
E 2050 664
E 2051 605
E 2051 1566
E 2051 1703
E 2052 614
E 2052 1206
E 2054 1018
E 2054 1770
E 2055 463
E 2055 1015
E 2056 1493
E 2057 819
E 2058 858
E 2059 70
E 2060 1355
E 2060 1558
E 2061 881
E 2063 202
E 2064 858
E 2065 605
E 2066 419
E 2067 894
E 2067 1881
E 2068 616
E 2069 1732
E 2070 1034
E 2072 875
E 2072 1636
E 2073 74
E 2073 1701
E 2074 197
E 2074 1770
E 2075 94
E 2075 123
E 2075 1453
E 2076 392
E 2076 1018
E 2077 992
E 2079 863
E 2079 1769
E 2081 1427
E 2083 387
E 2084 406
E 2085 256
E 2085 489
E 2086 1690
E 2087 163
E 2088 1526
E 2089 337
E 2089 1726
E 2090 1475
E 2091 229
E 2091 376
E 2091 875
E 2092 902
E 2093 315
E 2093 1289
E 2095 798
E 2096 551
E 2096 1688
E 2098 1526
E 2098 1695
E 2099 172
E 2099 1002
E 2099 1493
E 2100 781
E 2101 551
E 2101 1129
E 2103 827
E 2104 153
E 2104 955
E 2104 1392
E 2105 894
E 2106 1125
E 2107 297
E 2107 1628
E 2108 1860
E 2109 1021
E 2109 1074
E 2110 93
E 2111 217
E 2111 654
E 2111 890
E 2112 1435
E 2112 1703
E 2113 1155
E 2113 1406
E 2113 1453
E 2114 1202
E 2116 179
E 2116 376
E 2118 1205
E 2118 1342
E 2119 571
E 2120 1535
E 2122 582
E 2122 1019
E 2122 1142
E 2122 1411
E 2123 802
E 2123 1599
E 2125 1412
E 2126 630
E 2127 927
E 2127 1406
E 2128 377
E 2128 727
E 2129 1836
E 2130 38
E 2130 70
E 2130 944
E 2131 855
E 2131 1628
E 2132 323
E 2132 472
E 2132 1913
E 2135 944
E 2136 172
E 2136 917
E 2137 1589
E 2137 1860
E 2138 955
E 2139 358
E 2139 917
E 2139 1034
E 2139 1871
E 2140 123
E 2140 379
E 2140 1432
E 2141 475
E 2141 1391
E 2142 315
E 2143 851
E 2144 727
E 2144 833
E 2145 1716
E 2146 1871
E 2148 56
E 2148 419
E 2150 434
E 2150 1016
E 2152 1391
E 2153 220
E 2153 819
E 2154 434
E 2155 1636
E 2155 1690
E 2155 1717
E 2156 356
E 2156 742
E 2156 764
E 2157 460
E 2158 170
E 2160 281
E 2160 1057
E 2160 1427
E 2160 1453
E 2161 379
E 2161 516
E 2161 767
E 2161 1566
E 2162 378
E 2163 362
E 2163 1179
E 2163 1881
E 2164 220
E 2164 514
E 2166 168
E 2166 406
E 2167 379
E 2167 827
E 2168 1207
E 2169 70
E 2169 1128
E 2170 252
E 2171 688
E 2171 1912
E 2172 170
E 2172 1019
E 2172 1319
E 2172 1854
E 2174 1688
E 2175 74
E 2175 1202
E 2175 1741
E 2176 992
E 2176 1002
E 2176 1155
E 2176 1789
E 2177 153
E 2177 582
E 2177 1741
E 2178 93
E 2178 1206
E 2179 94
E 2179 1129
E 2180 229
E 2180 1649
E 2181 802
E 2181 1836
E 2182 1823
E 2184 141
E 2184 874
E 2185 1234
E 2187 1987
E 2188 737
E 2189 1355
E 2189 1701
E 2189 1769
E 2191 1627
E 2192 1179
E 2193 256
E 2194 363
E 2194 851
E 2195 562
E 2196 940
E 2196 1987
E 2197 194
E 2197 1912
E 2198 1716
E 2198 1717
E 2199 337
E 2200 475
E 2200 1342
E 2200 1435
E 2200 1823
E 2003 460
E 2003 1433
E 2004 1243
E 2008 1015
E 2009 1787
E 2010 194
E 2010 315
E 2010 761
E 2011 976
E 2011 1125
E 2012 540
E 2012 890
E 2012 1207
E 2017 654
E 2018 1392
E 2019 855
E 2021 1535
E 2021 1599
E 2022 202
E 2022 1787
E 2023 1099
E 2024 833
E 2029 267
E 2029 1672
E 2030 1649
E 2031 285
E 2031 881
E 2031 902
E 2031 1387
E 2032 363
E 2033 472
E 2034 1475
E 2036 356
E 2036 737
E 2038 571
E 2041 1726
E 2042 122
E 2042 616
E 2044 364
E 2044 664
E 2046 761
E 2048 590
E 2048 1406
E 2048 1717
E 2049 781
E 2049 904
E 2053 179
E 2053 562
E 2058 463
E 2058 1099
E 2059 1412
E 2062 863
E 2067 1128
E 2069 514
E 2069 1589
E 2069 1715
E 2071 551
E 2078 197
E 2080 1381
E 2082 122
E 2094 217
E 2095 150
E 2102 150
E 2106 652
E 2111 378
E 2113 267
E 2115 590
E 2117 652
E 2119 1016
E 2121 283
E 2124 688
E 2133 767
E 2134 1599
E 2144 1077
E 2147 297
E 2149 1672
E 2151 540
E 2153 1790
E 2159 833
E 2165 1077
E 2168 286
E 2173 1243
E 2183 904
E 2183 1381
E 2186 1715
E 2189 316
E 2190 286
E 2053 163
E 2097 316
