Cost 83897.0
Edges 833
E 1 513
E 1 9
E 2 66
E 2 34
E 2 6
E 3 515
E 4 20
E 6 518
E 7 15
E 8 16
E 9 265
E 16 528
E 16 144
E 21 53
E 22 24
E 34 290
E 34 162
E 35 39
E 38 294
E 41 57
E 46 174
E 50 306
E 53 55
E 54 566
E 55 567
E 55 119
E 57 58
E 58 62
E 58 60
E 61 63
E 62 318
E 62 126
E 64 576
E 67 68
E 68 100
E 69 197
E 71 583
E 73 585
E 73 74
E 74 106
E 75 587
E 77 589
E 81 593
E 82 84
E 85 213
E 86 88
E 87 599
E 87 119
E 88 216
E 91 603
E 96 608
E 97 353
E 98 610
E 98 106
E 99 107
E 100 356
E 105 361
E 105 233
E 105 107
E 112 240
E 115 116
E 118 630
E 119 120
E 121 125
E 125 127
E 126 254
E 131 135
E 133 389
E 137 649
E 139 171
E 141 653
E 141 142
E 143 144
E 144 656
E 146 178
E 148 404
E 156 412
E 157 413
E 160 672
E 162 164
E 166 168
E 171 235
E 173 685
E 177 433
E 178 186
E 186 698
E 187 443
E 188 252
E 188 192
E 190 254
E 191 255
E 193 195
E 195 196
E 197 198
E 203 715
E 205 461
E 216 728
E 217 218
E 219 220
E 221 223
E 226 738
E 229 237
E 233 237
E 234 236
E 235 747
E 239 495
E 245 246
E 249 505
E 249 251
E 251 255
E 254 766
E 262 264
E 263 295
E 263 271
E 268 780
E 271 272
E 272 304
E 273 305
E 277 405
E 280 288
E 285 286
E 289 417
E 290 294
E 295 296
E 297 299
E 297 298
E 298 810
E 305 307
E 307 315
E 313 314
E 316 320
E 319 447
E 321 353
E 322 834
E 322 324
E 323 324
E 324 452
E 328 336
E 330 332
E 331 332
E 332 348
E 333 349
E 337 339
E 341 469
E 342 350
E 345 349
E 353 354
E 355 359
E 356 360
E 358 870
E 358 366
E 359 487
E 361 363
E 363 491
E 364 368
E 367 495
E 367 383
E 368 496
E 375 503
E 379 380
E 380 892
E 385 386
E 387 451
E 390 422
E 398 910
E 399 431
E 401 433
E 407 471
E 413 415
E 419 435
E 419 427
E 421 423
E 422 486
E 423 487
E 423 424
E 427 491
E 430 494
E 433 434
E 434 436
E 435 439
E 436 500
E 438 950
E 441 445
E 447 511
E 447 448
E 448 960
E 452 964
E 453 455
E 458 970
E 459 475
E 459 460
E 460 492
E 461 462
E 466 978
E 470 478
E 474 506
E 477 509
E 483 499
