Cost 269.0
Edges 269
E 1001 22
E 1001 781
E 1002 10
E 1002 19
E 1002 44
E 1002 64
E 1002 78
E 1002 112
E 1002 348
E 1002 781
E 1003 17
E 1003 58
E 1003 348
E 1004 1
E 1004 11
E 1004 19
E 1004 25
E 1005 19
E 1006 11
E 1006 29
E 1006 82
E 1007 13
E 1007 20
E 1007 22
E 1008 29
E 1008 31
E 1008 32
E 1008 48
E 1009 15
E 1009 21
E 1009 112
E 1010 20
E 1010 98
E 1010 104
E 1011 6
E 1011 42
E 1011 54
E 1011 68
E 1011 88
E 1011 104
E 1012 1
E 1013 33
E 1013 60
E 1013 76
E 1013 98
E 1014 51
E 1014 76
E 1014 83
E 1015 12
E 1015 23
E 1015 82
E 1016 20
E 1016 34
E 1017 2
E 1017 29
E 1018 58
E 1019 31
E 1019 47
E 1020 8
E 1020 12
E 1020 59
E 1021 4
E 1021 5
E 1021 47
E 1022 21
E 1023 15
E 1024 36
E 1024 57
E 1024 59
E 1024 77
E 1025 20
E 1025 28
E 1025 49
E 1026 4
E 1026 24
E 1026 43
E 1026 61
E 1027 44
E 1027 67
E 1028 3
E 1028 12
E 1029 27
E 1029 30
E 1029 49
E 1030 5
E 1030 18
E 1031 9
E 1031 14
E 1031 23
E 1032 38
E 1032 51
E 1032 89
E 1033 26
E 1033 88
E 1034 26
E 1034 39
E 1035 2
E 1036 1
E 1036 52
E 1037 31
E 1038 21
E 1039 4
E 1040 18
E 1041 18
E 1042 18
E 1043 10
E 1044 4
E 1044 62
E 1045 9
E 1046 5
E 1047 6
E 1048 2
E 1049 23
E 1050 18
E 1051 14
E 1051 45
E 1052 21
E 1053 18
E 1054 3
E 1055 54
E 1056 6
E 1056 7
E 1057 22
E 1058 1
E 1059 61
E 1060 11
E 1061 1
E 1062 42
E 1062 71
E 1063 23
E 1064 10
E 1065 3
E 1066 2
E 1067 2
E 1068 4
E 1069 25
E 1070 4
E 1071 36
E 1072 13
E 1073 7
E 1074 45
E 1075 19
E 1076 7
E 1077 83
E 1078 1
E 1079 71
E 1080 64
E 1081 11
E 1082 45
E 1083 1
E 1083 16
E 1084 25
E 1085 48
E 1086 62
E 1087 23
E 1088 4
E 1089 23
E 1090 8
E 1091 43
E 1092 25
E 1093 6
E 1094 31
E 1095 4
E 1096 52
E 1097 3
E 1098 45
E 1099 29
E 1100 24
E 1101 1
E 1102 2
E 1103 1
E 1104 78
E 1105 10
E 1106 44
E 1107 6
E 1107 40
E 1108 10
E 1109 8
E 1110 29
E 1111 5
E 1112 60
E 1113 9
E 1114 15
E 1115 17
E 1116 38
E 1117 38
E 1118 33
E 1119 49
E 1120 10
E 1121 1
E 1122 7
E 1123 27
E 1124 3
E 1125 4
E 1126 3
E 1127 30
E 1128 22
E 1129 40
E 1130 57
E 1131 27
E 1132 22
E 1133 25
E 1134 68
E 1135 6
E 1136 12
E 1137 14
E 1138 24
E 1139 52
E 1140 40
E 1141 1
E 1142 14
E 1143 3
E 1144 11
E 1145 21
E 1146 8
E 1147 2
E 1148 17
E 1149 45
E 1150 7
E 1151 15
E 1152 3
E 1153 16
E 1154 39
E 1155 67
E 1156 4
E 1157 8
E 1158 11
E 1159 18
E 1160 22
E 1161 12
E 1162 2
E 1163 2
E 1164 16
E 1165 89
E 1166 27
E 1167 5
E 1168 13
E 1169 5
E 1170 18
E 1171 30
E 1172 34
E 1173 28
E 1174 9
E 1175 32
E 1176 6
E 1177 29
E 1178 30
E 1179 24
E 1180 1
E 1181 12
E 1182 13
E 1183 1
E 1184 17
E 1185 8
E 1186 24
E 1187 1
E 1188 1
E 1189 7
E 1190 10
E 1191 2
E 1192 2
E 1193 11
E 1194 17
E 1195 13
E 1196 77
E 1197 3
E 1198 5
E 1199 19
E 1200 24
