Cost 308.0
Edges 308
E 1001 18
E 1001 113
E 1001 587
E 1001 844
E 1002 10
E 1002 17
E 1002 59
E 1002 254
E 1002 355
E 1002 444
E 1002 844
E 1003 220
E 1003 273
E 1003 294
E 1003 587
E 1004 17
E 1004 28
E 1005 17
E 1005 70
E 1005 104
E 1005 163
E 1006 234
E 1006 254
E 1007 18
E 1007 22
E 1008 29
E 1008 112
E 1008 343
E 1008 444
E 1009 21
E 1009 294
E 1010 103
E 1010 343
E 1011 34
E 1011 54
E 1011 69
E 1011 103
E 1011 568
E 1012 19
E 1012 163
E 1012 207
E 1013 163
E 1014 48
E 1014 568
E 1015 12
E 1015 113
E 1016 59
E 1016 65
E 1016 145
E 1016 339
E 1017 29
E 1017 30
E 1018 62
E 1018 77
E 1018 103
E 1018 306
E 1019 30
E 1019 64
E 1019 256
E 1020 61
E 1020 104
E 1021 73
E 1021 136
E 1021 234
E 1022 253
E 1022 444
E 1023 21
E 1024 31
E 1024 76
E 1024 207
E 1025 47
E 1025 108
E 1025 355
E 1026 23
E 1026 46
E 1026 63
E 1026 273
E 1027 145
E 1028 7
E 1028 12
E 1028 101
E 1029 209
E 1029 306
E 1030 20
E 1030 34
E 1031 6
E 1031 11
E 1031 220
E 1031 372
E 1032 40
E 1032 67
E 1032 79
E 1032 108
E 1033 372
E 1034 339
E 1035 29
E 1035 50
E 1036 19
E 1037 43
E 1037 131
E 1037 209
E 1038 70
E 1038 132
E 1039 15
E 1039 29
E 1039 156
E 1040 20
E 1040 71
E 1040 160
E 1041 26
E 1041 108
E 1042 136
E 1043 82
E 1043 136
E 1044 31
E 1044 58
E 1045 30
E 1045 32
E 1045 92
E 1046 19
E 1046 262
E 1047 2
E 1047 48
E 1048 3
E 1048 253
E 1049 24
E 1049 59
E 1049 97
E 1049 362
E 1050 76
E 1051 28
E 1052 18
E 1053 59
E 1054 30
E 1055 54
E 1056 9
E 1056 70
E 1056 84
E 1057 18
E 1057 45
E 1058 1
E 1058 47
E 1058 176
E 1059 63
E 1060 262
E 1061 20
E 1062 34
E 1062 60
E 1062 83
E 1063 362
E 1064 37
E 1064 60
E 1065 14
E 1065 63
E 1066 50
E 1066 52
E 1067 66
E 1067 84
E 1068 5
E 1068 66
E 1069 63
E 1070 4
E 1070 73
E 1070 87
E 1071 31
E 1072 14
E 1073 46
E 1073 49
E 1074 45
E 1075 17
E 1076 77
E 1077 97
E 1078 1
E 1079 160
E 1080 112
E 1081 64
E 1082 45
E 1083 58
E 1084 43
E 1085 67
E 1086 256
E 1087 24
E 1088 2
E 1089 58
E 1090 5
E 1091 77
E 1092 73
E 1093 32
E 1094 83
E 1095 12
E 1096 69
E 1097 7
E 1098 45
E 1098 120
E 1099 132
E 1100 40
E 1101 1
E 1102 11
E 1103 1
E 1103 8
E 1104 113
E 1105 17
E 1106 43
E 1107 35
E 1107 79
E 1108 88
E 1108 104
E 1109 62
E 1110 29
E 1110 51
E 1111 6
E 1112 176
E 1113 6
E 1114 22
E 1114 114
E 1115 101
E 1116 44
E 1116 82
E 1117 47
E 1118 32
E 1119 87
E 1120 10
E 1121 2
E 1122 88
E 1123 25
E 1123 48
E 1124 44
E 1125 4
E 1126 120
E 1127 32
E 1128 18
E 1129 58
E 1130 53
E 1130 58
E 1131 50
E 1132 18
E 1132 38
E 1133 114
E 1134 69
E 1135 70
E 1136 59
E 1137 11
E 1138 23
E 1139 51
E 1140 35
E 1141 7
E 1142 11
E 1143 67
E 1144 13
E 1144 52
E 1145 38
E 1146 19
E 1147 47
E 1148 19
E 1149 45
E 1150 10
E 1151 63
E 1152 31
E 1153 58
E 1154 53
E 1155 66
E 1156 4
E 1157 5
E 1157 27
E 1158 25
E 1159 20
E 1160 61
E 1161 44
E 1162 3
E 1163 15
E 1164 22
E 1165 101
E 1166 25
E 1167 8
E 1168 156
E 1169 92
E 1170 20
E 1171 79
E 1172 71
E 1173 26
E 1174 6
E 1175 61
E 1176 2
E 1176 36
E 1177 131
E 1178 65
E 1179 23
E 1180 9
E 1181 37
E 1182 62
E 1183 44
E 1184 19
E 1185 5
E 1186 60
E 1187 1
E 1188 1
E 1189 36
E 1190 23
E 1191 2
E 1192 17
E 1193 13
E 1194 49
E 1195 20
E 1196 76
E 1197 17
E 1198 8
E 1199 294
E 1200 27
